17channels: 0.3272, 0.7429714278421622, 0.7251240425660556
acceleration: 0.3272, 0.7448432387648565, 0.7258989336354648
altitude: 0.3094, 0.7242959263889854, 0.7289241198468138
bearing1: 0.2768, 0.7270955305071718, 0.7050076928921476
bearing2: 0.3237, 0.7672697494628887, 0.7543908090452167
bearing3: 0.3249, 0.7399157954343829, 0.7221010212117842
bearing4: 0.271, 0.739142992745138, 0.713096329803032
bearing5: 0.3065, 0.7396521476813476, 0.7205602991686627
bearing6: 0.3247, 0.7414137554582669, 0.7245002361740166
bearing7: 0.3358, 0.7050051587317276, 0.6999028559510345
bearing8: 0.3224, 0.7266007657985697, 0.7090155189576527
bearing_deviation: 0.25370000000000004, 0.7198945916513373, 0.6903063460833041
bearing_difference: 0.3394, 0.7602074982931084, 0.752335814588652
binary: 0.2434, 0.6879190984014049, 0.6471277084853643
distance: 0.3037, 0.712113621963195, 0.727673931026894
heatmap: 0.22719999999999999, 0.6754893996040725, 0.652324545061985
slope: 0.2939, 0.7378647202745235, 0.7363127117927754
speed: 0.2365, 0.5989918092441469, 0.594092407159151
